b	b 90 20 137
t	t 90 20 174
v	T 170 17 129
j	Z 90 20 132
H	X 90 20 159
x	x 90 20 151
d	d 90 20 149
*	D 85 90 94
r	r 130 20 140
z	z 60 20 138
s	s 90 11 98 22 100
$	S 130 92 121
S	s. 90 20 143
D	d. 70 42 99 85 960
T	t. 130 20 163
Z	z. 68 44 107 88 102
E	H 60 20 138
g	G 70 14 127 57 118 100 112
f	f 90 20 131
q	q 60 20 140
k	k 90 20 134
l	l 90 20 126
m	m 90 20 163
n	n 130 20 162
h	h 80 12 107 50 99 87 94
w	u 50 20 160
y	i 170 20 140
y	j 170 20 143
a	a 70 28 109 71 104
i	i 70 28 109 71 104
u	u 61 35 101 83 102
A	a 70 28 109 71 104
'	? 50 50 50
>	? 70 28 109 71 104
<	? 70 28 109 71 104
}	? 70 70 70
O	a 70 28 109 71 104
p	h 80 12 107 50 99 87 94
